tabela,coluna,referencia
lead_energia_mensal,lead_bruto_id,lead_bruto.id
lead_energia_mensal,import_id,import_status.import_id
lead_demanda_mensal,lead_bruto_id,lead_bruto.id
lead_demanda_mensal,import_id,import_status.import_id
lead_enrichment_log,lead_bruto_id,lead_bruto.id
lead_qualidade_mensal,lead_bruto_id,lead_bruto.id
lead_qualidade_mensal,import_id,import_status.import_id
import_status,distribuidora_id,distribuidora.id
lead_bruto,import_id,import_status.import_id
lead_bruto,distribuidora_id,distribuidora.id
lead_bruto,grupo_tensao,grupo_tensao.id
lead_bruto,modalidade,modalidade_tarifaria.id
lead_bruto,tipo_sistema,tipo_sistema.id
lead_bruto,situacao,situacao_uc.id
lead_bruto,classe,classe_consumo.id
lead_bruto,segmento,segmento_mercado.id
lead_bruto,municipio_id,municipio.id
